市区町村コード,転入_総人数,転入65歳以上,転入25歳～29歳,転入30歳～34歳,転入35歳～39歳,転出_総人数,転出65歳以上,転出25歳～29歳,転出30歳～34歳,35歳～39歳
1,4899158,274656,984383,654874,419167,4868004,273330,978667,654888,419574
2,356563,28362,58779,43936,29643,387717,29688,64495,43922,29236
1000,237993,18282,36745,26451,19550,239309,18229,37350,26202,19111
1001,203398,15893,31574,22634,16842,197976,14236,31928,22273,16239
1002,34595,2389,5171,3817,2708,41333,3993,5422,3929,2872
1100,119776,10445,20024,14149,10122,109283,8343,19423,13849,9647
1101,21102,1751,3486,2468,1779,18650,1125,3333,2502,1818
1102,15578,1220,2455,1809,1304,14238,1161,2773,1582,1090
1103,15263,1216,2758,1792,1284,14111,966,2583,1911,1332
1104,14373,1138,2713,1761,1188,12928,955,2363,1886,1188
1105,16501,1299,3133,2014,1310,15030,1078,2802,2123,1392
1106,7633,799,909,722,596,7303,630,1050,673,517
1107,12878,1032,2323,1633,1125,10998,909,1922,1449,1044
1108,5953,623,881,691,494,6152,604,1013,691,440
1109,6266,766,834,771,654,5483,466,921,611,472
1110,4229,601,532,488,388,4390,449,663,421,354
1202,7966,559,1039,752,579,8881,527,1236,844,607
1203,3027,231,400,330,238,3493,334,516,337,224
1204,10028,743,1369,1023,810,10068,553,1478,996,765
1205,2829,162,461,286,185,3446,281,490,335,242
1206,5439,261,728,507,419,6480,369,841,596,517
1207,7320,368,1110,750,643,6966,296,1087,726,577
1208,3745,243,457,348,291,4051,235,502,362,292
1209,148,12,14,18,14,339,79,35,28,23
1210,2402,164,353,227,199,2763,242,391,259,170
1211,1687,74,204,141,123,1841,94,233,140,142
1212,894,36,111,82,74,1125,80,112,87,97
1213,5638,350,885,608,502,5883,321,900,614,485
1214,1292,43,186,138,108,1623,117,198,142,129
1215,460,37,71,42,26,702,83,86,46,52
1216,285,23,40,32,23,467,92,45,34,33
1217,5204,389,631,630,452,4360,288,707,387,273
1218,243,47,31,14,7,300,57,36,22,19
1219,716,33,85,71,76,891,73,110,88,72
1220,397,31,53,32,54,646,83,73,46,53
1221,1256,43,183,112,91,1331,78,159,141,118
1222,315,25,35,37,20,314,39,33,30,24
1223,672,26,122,53,56,1015,68,132,101,62
1224,5977,245,831,609,484,5485,149,796,587,479
1225,1639,127,205,162,120,1889,133,242,166,138
1226,522,61,87,48,26,640,70,102,64,46
1227,54,16,4,6,3,105,38,6,8,3
1228,742,70,66,44,49,808,81,95,58,53
1229,776,36,116,110,70,1059,85,151,101,84
1230,1616,115,224,145,129,1986,168,283,180,128
1231,3233,191,460,361,259,2939,133,460,320,216
1233,1034,91,155,95,73,1169,113,175,97,89
1234,2335,225,322,257,202,2127,208,312,199,146
1235,2240,247,311,274,202,1893,211,260,150,138
1236,1491,124,201,141,113,1608,115,223,133,96
1300,666,88,66,48,37,752,85,102,81,35
1303,589,66,60,46,33,672,81,90,74,32
1304,77,22,6,2,4,80,4,12,7,3
1330,2897,272,414,328,211,3790,397,434,351,241
